occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
BogFungi_2877,Cortinarius armeniacus/kauffmanianus,Cortinarius armeniacus (Schaeff.) Zawadzki,12012261,EXACT,97,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius armeniacus,Cortinarius armeniacus,(Schaeff.) Zawadzki,12012261,
BogFungi_2878,Cortinarius aurantiobasis/cinnamomeus/davemallochii,Cortinarius aurantiobasis Ammirati & A.H.Sm.,3351066,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius aurantiobasis,Cortinarius aurantiobasis,Ammirati & A.H.Sm.,3351066,
BogFungi_2879,Galerina allospora/sp/sp2,Galerina allospora A.H.Sm. & Singer,2533906,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Galerina,Galerina allospora,Galerina allospora,A.H.Sm. & Singer,2533906,
BogFungi_2880,Galerina allospora/sp/sp2,Galerina allospora A.H.Sm. & Singer,2533906,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Galerina,Galerina allospora,Galerina allospora,A.H.Sm. & Singer,2533906,
BogFungi_2881,Cortinarius aurantiobasis/cinnamomeus/davemallochii,Cortinarius aurantiobasis Ammirati & A.H.Sm.,3351066,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius aurantiobasis,Cortinarius aurantiobasis,Ammirati & A.H.Sm.,3351066,
BogFungi_2882,Galerina calyptrata s.l.,Galerina calyptrata P.D.Orton,2533899,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Galerina,Galerina calyptrata,Galerina calyptrata,P.D.Orton,2533899,
BogFungi_2883,Arrhenia gerardiana,Arrhenia gerardiana (Peck) Elborne,8112909,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Arrhenia,Arrhenia gerardiana,Arrhenia gerardiana,(Peck) Elborne,8112909,
BogFungi_2884,Galerina tibiicystis,Galerina tibiicystis (G.F.Atk.) Kühner,2533865,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Galerina,Galerina tibiicystis,Galerina tibiicystis,(G.F.Atk.) Kühner,2533865,
BogFungi_2885,Arrhenia gerardiana,Arrhenia gerardiana (Peck) Elborne,8112909,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Arrhenia,Arrhenia gerardiana,Arrhenia gerardiana,(Peck) Elborne,8112909,
BogFungi_2886,Cortinarius aurantiobasis/cinnamomeus/davemallochii,Cortinarius aurantiobasis Ammirati & A.H.Sm.,3351066,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius aurantiobasis,Cortinarius aurantiobasis,Ammirati & A.H.Sm.,3351066,
BogFungi_2887,Cortinarius aurantiobasis/cinnamomeus/davemallochii,Cortinarius aurantiobasis Ammirati & A.H.Sm.,3351066,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius aurantiobasis,Cortinarius aurantiobasis,Ammirati & A.H.Sm.,3351066,
BogFungi_2888,Cortinarius semisanguineus/cruentiphyllus,Cortinarius semisanguineus (Fr.) Gillet,2529327,EXACT,97,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius semisanguineus,Cortinarius semisanguineus,(Fr.) Gillet,2529327,
BogFungi_2889,Galerina tibiicystis,Galerina tibiicystis (G.F.Atk.) Kühner,2533865,EXACT,99,ACCEPTED,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Galerina,Galerina tibiicystis,Galerina tibiicystis,(G.F.Atk.) Kühner,2533865,
